City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
50,Aiquile,BO,2021-10-30 01:53:21,-18.2041,-65.1807,65.26,59,97,3.22
51,Fortuna,US,2021-10-30 01:53:21,40.5982,-124.1573,60.93,73,90,5.75
52,Kachkanar,RU,2021-10-30 01:53:22,58.7,59.4948,23.65,72,100,9.42
53,Babstovo,RU,2021-10-30 01:53:22,48.1167,132.4833,47.23,45,100,2.77
54,Nikolskoye,RU,2021-10-30 01:53:23,59.7035,30.7861,49.87,92,52,8.59
55,Bridlington,GB,2021-10-30 01:53:24,54.0831,-0.1919,50.9,85,86,19.35
56,Thompson,CA,2021-10-30 01:53:24,55.7435,-97.8558,39.36,81,75,5.75
57,Atuona,PF,2021-10-30 01:49:58,-9.8,-139.0333,77.67,70,7,12.37
58,Matara,LK,2021-10-30 01:53:25,5.9485,80.5353,78.67,86,92,4.34
59,Khuzhir,RU,2021-10-30 01:53:26,53.1939,107.3397,33.35,64,42,8.3
60,Berlevag,NO,2021-10-30 01:53:26,70.8578,29.0864,39.9,80,36,28.79
61,Vestmanna,FO,2021-10-30 01:53:27,62.1564,-7.1664,41.92,100,75,1.14
62,Novosheshminsk,RU,2021-10-30 01:53:27,55.0651,51.2338,35.64,89,100,16.28
63,Cherskiy,RU,2021-10-30 01:53:28,68.75,161.3,-9.38,95,100,0.87
64,Haines Junction,CA,2021-10-30 01:50:30,60.7522,-137.5108,31.95,74,81,2.3
65,Mahebourg,MU,2021-10-30 01:53:29,-20.4081,57.7,71.89,94,75,3.44
66,Mataura,NZ,2021-10-30 01:53:29,-46.1927,168.8643,74.5,38,57,5.01
67,Kingman,US,2021-10-30 01:53:30,35.1894,-114.053,75.13,15,0,1.01
68,Fare,PF,2021-10-30 01:53:31,-16.7,-151.0167,78.64,73,41,15.99
69,Katsuura,JP,2021-10-30 01:53:31,35.1333,140.3,62.71,51,36,4.43
70,Kapaa,US,2021-10-30 01:53:32,22.0752,-159.319,80.58,80,24,3.0
71,Jamestown,US,2021-10-30 01:53:32,42.097,-79.2353,48.29,92,90,5.99
72,Port Elizabeth,ZA,2021-10-30 01:53:33,-33.918,25.5701,62.1,82,75,16.11
73,Honningsvag,NO,2021-10-30 01:53:34,70.9821,25.9704,42.31,72,93,29.95
74,Hasaki,JP,2021-10-30 01:53:34,35.7333,140.8333,64.29,44,0,2.01
75,Antalaha,MG,2021-10-30 01:53:35,-14.9003,50.2788,72.86,86,100,5.37
76,Hays,US,2021-10-30 01:53:35,30.0502,-98.0336,63.05,49,0,7.0
77,Dauphin,CA,2021-10-30 01:53:36,51.1494,-100.0502,44.74,70,90,9.22
78,Banff,CA,2021-10-30 01:53:37,51.1762,-115.5698,33.33,93,100,1.14
79,Puerto Ayora,EC,2021-10-30 01:53:37,-0.7393,-90.3518,69.69,91,73,8.55
80,Torbay,CA,2021-10-30 01:53:38,47.6666,-52.7314,40.39,93,90,13.8
81,La Ronge,CA,2021-10-30 01:53:38,55.1001,-105.2842,37.62,48,20,5.75
82,Dubbo,AU,2021-10-30 01:53:39,-32.25,148.6167,68.13,30,0,14.97
83,Barra Do Garcas,BR,2021-10-30 01:52:24,-15.89,-52.2567,74.25,81,47,0.58
84,Barrow,US,2021-10-30 01:53:39,71.2906,-156.7887,7.61,90,71,9.64
85,Bredasdorp,ZA,2021-10-30 01:49:21,-34.5322,20.0403,58.32,88,100,5.75
86,Obo,CF,2021-10-30 01:53:40,5.3998,26.4869,66.78,98,100,1.41
87,Korla,CN,2021-10-30 01:53:41,41.7597,86.1469,51.19,36,100,5.53
88,Komsomolskiy,UZ,2021-10-30 01:53:41,40.4272,71.7189,42.22,81,0,6.91
89,Puri,IN,2021-10-30 01:53:42,19.8,85.85,81.37,74,28,9.37
